symbol,name,exchange,spot_amount,spot_date,spot_updated_at,asset_class,category,tracking_index,listing_date,latest_date,avg_amount_20,data_rows,is_active,filter_reason,universe_source,fetched_at
517660,物联网ETF天弘,SH,6681512.0,2026-05-13,2026-05-13 16:12:00+08:00,A股股票,行业主题,物联网,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517770,游戏传媒ETF浦银,SH,9207135.0,2026-05-13,2026-05-13 16:11:39+08:00,A股股票,行业主题,游戏传媒浦银,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517800,人工智能50ETF方正富邦,SH,24610003.0,2026-05-13,2026-05-13 16:11:38+08:00,A股股票,行业主题,人工智能50方正富邦,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517850,张江ETF汇添富,SH,2020179.0,2026-05-13,2026-05-13 16:11:42+08:00,A股股票,行业主题,张江,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517880,品牌消费ETF华泰柏瑞,SH,6737401.0,2026-05-13,2026-05-13 16:12:01+08:00,A股股票,行业主题,品牌消费,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517900,银行AH优选ETF招商,SH,22881008.0,2026-05-13,2026-05-13 16:11:48+08:00,A股股票,行业主题,银行AH优选招商,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517950,沪深港科技50ETF交银,SH,10494608.0,2026-05-13,2026-05-13 16:12:01+08:00,A股股票,行业主题,沪深港科技50交银,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517990,沪港深医药ETF招商,SH,395916.0,2026-05-13,2026-05-13 16:11:38+08:00,A股股票,行业主题,沪港深医药招商,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
518600,金ETF广发,SH,167583917.0,2026-05-13,2026-05-13 16:11:54+08:00,A股股票,行业主题,金,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
518680,金ETF富国,SH,131002667.0,2026-05-13,2026-05-13 16:11:38+08:00,A股股票,行业主题,金,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
518860,上海金ETF建信,SH,22147926.0,2026-05-13,2026-05-13 16:12:01+08:00,A股股票,行业主题,上海金建信,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
518890,上海金ETF中银,SH,79804832.0,2026-05-13,2026-05-13 16:11:56+08:00,A股股票,行业主题,上海金中银,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
520580,新兴亚洲ETF招商,SH,9571863.0,2026-05-13,2026-05-13 16:11:51+08:00,A股股票,行业主题,新兴亚洲招商,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
520870,巴西ETF易方达,SH,50193410.0,2026-05-13,2026-05-13 16:11:58+08:00,A股股票,行业主题,巴西,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530000,上证50ETF天弘,SH,2362401.0,2026-05-13,2026-05-13 16:11:48+08:00,A股股票,宽基,上证50,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530050,上证50ETF东财,SH,5290284.0,2026-05-13,2026-05-13 16:11:34+08:00,A股股票,宽基,上证50东财,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530060,上证指数ETF易方达,SH,26087173.0,2026-05-13,2026-05-13 16:11:49+08:00,A股股票,行业主题,上证指数,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530080,上证180ETF天弘,SH,7015861.0,2026-05-13,2026-05-13 16:11:46+08:00,A股股票,行业主题,上证180,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530100,上证580ETF易方达,SH,3043964.0,2026-05-13,2026-05-13 16:11:35+08:00,A股股票,行业主题,上证580,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530180,上证180ETF易方达,SH,13610797.0,2026-05-13,2026-05-13 16:12:01+08:00,A股股票,行业主题,上证180,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530280,上证180ETF平安,SH,277569.0,2026-05-13,2026-05-13 16:11:48+08:00,A股股票,行业主题,上证180平安,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530300,上证180ETF华泰柏瑞,SH,6528919.0,2026-05-13,2026-05-13 16:11:50+08:00,A股股票,行业主题,上证180,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530380,上证380ETF易方达,SH,4079080.0,2026-05-13,2026-05-13 16:11:36+08:00,A股股票,行业主题,上证380,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530530,上证580ETF华夏,SH,2218673.0,2026-05-13,2026-05-13 16:11:45+08:00,A股股票,行业主题,上证580,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530580,上证180ETF南方,SH,11195935.0,2026-05-13,2026-05-13 16:11:35+08:00,A股股票,行业主题,上证180,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530680,上证180ETF兴业,SH,6028586.0,2026-05-13,2026-05-13 16:11:41+08:00,A股股票,行业主题,上证180兴业,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530800,上证180ETF银华,SH,3309044.0,2026-05-13,2026-05-13 16:11:33+08:00,A股股票,行业主题,上证180,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
530880,红利国企ETF银河,SH,2516260.0,2026-05-13,2026-05-13 16:11:35+08:00,A股股票,风格,红利国企银河,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560000,智能电车ETF浦银,SH,,2026-05-13,2026-05-13 16:11:49+08:00,A股股票,行业主题,智能电车浦银,,,,,False,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560010,中证1000ETF广发,SH,538144732.0,2026-05-13,2026-05-13 16:11:53+08:00,A股股票,宽基,中证1000,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560020,红利ETF汇添富,SH,1854337.0,2026-05-13,2026-05-13 16:11:36+08:00,A股股票,风格,红利,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560030,800价值ETF汇添富,SH,79282.0,2026-05-13,2026-05-13 16:12:02+08:00,A股股票,风格,800价值,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560050,中国A50ETF汇添富,SH,251327302.0,2026-05-13,2026-05-13 16:11:51+08:00,A股股票,行业主题,中国A50,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560060,碳中和ETF汇添富,SH,731895.0,2026-05-13,2026-05-13 16:11:54+08:00,A股股票,行业主题,碳中和,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560070,央企红利ETF汇添富,SH,4389419.0,2026-05-13,2026-05-13 16:11:38+08:00,A股股票,风格,央企红利,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560080,中药ETF汇添富,SH,36831246.0,2026-05-13,2026-05-13 16:11:40+08:00,A股股票,行业主题,中药,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560090,证券ETF汇添富,SH,145466815.0,2026-05-13,2026-05-13 16:12:00+08:00,A股股票,行业主题,证券,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560100,中证500增强ETF南方,SH,12402776.0,2026-05-13,2026-05-13 16:11:51+08:00,A股股票,宽基,中证500增强,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
